date,passenger,stop_id,time,trip_id
2018-03-06,15,0,10:51,2
2018-03-06,17,1,10:53,2
2018-03-06,15,2,11:00,2
2018-03-06,17,3,11:03,2
2018-03-06,16,4,11:04,2
2018-03-06,20,5,11:06,2
2018-03-06,20,6,11:09,2
2018-03-06,21,7,11:11,2
2018-03-06,23,8,11:16,2
2018-03-06,28,9,11:18,2
2018-03-06,24,10,11:19,2
2018-03-06,30,11,11:21,2
2018-03-06,29,12,11:24,2
2018-03-06,31,13,11:26,2
2018-03-06,31,14,11:27,2
2018-03-06,33,15,11:28,2
2018-03-06,35,16,11:29,2
2018-03-06,37,17,11:31,2
2018-03-06,37,18,11:32,2
2018-03-06,37,19,11:34,2
2018-03-06,39,20,11:36,2
2018-03-06,11,21,7:40,3
2018-03-06,8,22,7:42,3
2018-03-06,9,23,7:46,3
2018-03-06,12,24,7:47,3
2018-03-06,15,25,7:49,3
2018-03-06,16,26,7:51,3
2018-03-06,15,27,7:52,3
2018-03-06,13,28,7:53,3
2018-03-06,12,29,7:54,3
2018-03-06,13,30,7:56,3
2018-03-06,13,31,7:57,3
2018-03-06,14,32,7:58,3
2018-03-06,16,33,7:59,3
2018-03-06,18,34,8:00,3
2018-03-06,20,35,8:02,3
2018-03-06,22,36,8:03,3
2018-03-06,23,37,8:05,3
2018-03-06,22,38,8:07,3
2018-03-06,23,39,8:07,3
2018-03-06,25,40,8:09,3
2018-03-06,25,41,8:11,3
2018-03-06,27,42,8:13,3
2018-03-06,24,43,8:30,3
2018-03-06,0,0,8:32,3
2018-03-01,6,0,11:03,4
2018-03-01,7,1,11:04,4
2018-03-01,8,44,11:06,4
2018-03-01,9,45,11:08,4
2018-03-01,10,46,11:10,4
2018-03-01,11,47,11:11,4
2018-03-01,10,48,11:13,4
2018-03-01,10,4,11:14,4
2018-03-01,13,6,11:18,4
2018-03-01,15,49,11:21,4
2018-03-01,16,50,11:23,4
2018-03-01,21,8,11:25,4
2018-03-01,20,10,11:29,4
2018-03-01,22,11,11:31,4
2018-03-01,23,51,11:32,4
2018-03-01,18,12,11:33,4
2018-03-01,19,52,11:34,4
2018-03-01,21,15,11:36,4
2018-03-01,20,16,11:37,4
2018-03-01,22,18,11:39,4
2018-03-01,24,20,11:41,4
2018-03-01,34,53,11:42,4
2018-03-01,38,54,11:43,4
2018-03-01,25,55,11:46,4
2018-03-01,19,56,11:47,4
2018-03-01,15,57,11:48,4
2018-03-01,13,58,11:49,4
2018-03-01,9,59,11:51,4
